hasCreator,isAuthorCreator,CreatorTool,Producer,hasWarning,TaggedPDF,hasTitle,hasKeywords,hasSubject,hasDescription,Linearized,PDFVersion,HasXFA,hasXMPToolkit,ModificationTZ,CreationYear,ModificationYear,CreateDate,ModifyDate,PageCount,FileSize,LenFileName,Label
False,True,Other,Acrobat Distiller 5.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2006,2006,2006-03-30 14:09:13+00:00,2006-04-06 08:48:54-04:00,34.0,388.0,13,Benign
False,True,Other,Acrobat Distiller 6.0.1,False,False,True,False,False,False,False,1.6,False,True,UTC\-04:00,2006,2010,2006-04-05 09:30:37-04:00,2010-03-22 11:18:17-04:00,29.0,245.0,12,Benign
False,True,Other,Acrobat Distiller 6.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2005,2005,2005-09-28 08:16:58-04:00,2005-09-28 08:16:58-04:00,34.0,241.0,12,Benign
False,False,Unknown,Acrobat PDFWriter 5.0,False,False,True,False,False,False,False,1.2,False,False,Unknown,2004,Unknown,2004-09-30 13:47:07,,59.0,359.0,10,Benign
False,True,Unknown,Acrobat Distiller 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-10 09:37:43+00:00,2002-04-29 11:59:37-04:00,5.0,32.0,7,Benign
False,True,Unknown,Other,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-03-22 19:00:04+00:00,2002-04-29 12:52:44-04:00,4.0,66.0,16,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-10 12:20:08+00:00,2002-04-29 11:59:38-04:00,2.0,65.0,7,Benign
False,True,Unknown,Acrobat Distiller 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-14 07:56:07+00:00,2002-04-29 11:59:38-04:00,4.0,14.0,7,Benign
False,True,Unknown,Acrobat Distiller 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-05:00,2000,2003,2000-02-14 08:06:35+00:00,2003-02-20 14:25:00-05:00,3.0,15.0,7,Benign
False,True,Other,Other,False,True,True,False,False,False,True,1.6,False,True,UTC\-05:00,2006,2007,2006-02-02 16:53:12-05:00,2007-01-30 14:55:27-05:00,12.0,166.0,12,Benign
False,True,Unknown,Other,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,Unknown,2002,,2002-04-29 11:59:39-04:00,1.0,222.0,7,Benign
False,False,Unknown,Other,False,False,True,False,False,False,False,1.3,False,False,Z,2011,2011,2011-04-12 15:50:48+00:00,2011-04-12 15:50:48+00:00,7.0,143.0,33,Benign
False,False,Unknown,Other,False,True,True,False,False,False,False,1.5,False,False,Unknown,2011,2011,2011-04-12 14:24:14,2011-04-12 14:24:14,9.0,171.0,14,Benign
False,False,Unknown,Other,False,True,True,False,False,False,False,1.5,False,False,UTC\-05:00,2011,2011,2011-04-12 10:33:10-05:00,2011-04-12 10:33:10-05:00,4.0,245.0,41,Benign
False,True,Other,Other,False,True,False,False,False,False,True,1.5,False,True,UTC\-04:00,2011,2011,2011-04-13 23:51:20+00:00,2011-04-14 13:28:09-04:00,3.0,322.0,27,Benign
False,False,Unknown,Other,False,False,True,False,False,False,False,1.3,False,False,UTC\-04:00,2011,2011,2011-04-13 16:27:16-04:00,2011-04-13 15:27:17-04:00,4.0,87.0,19,Benign
